100001*Standard Ticket*150.00*28*Ahmad Haziq*016-9625-914*022174516635*22*1
100002*Premium Ticket*200.00*15*Siti Aminah*012-3456-789*010512456789*30*2
100003*Vip Ticket*300.00*5*Mohammad Ali*019-8765-432*031219567890*45*4
100004*Standard Ticket*150.00*12*Nurul Izzah*011-1111-111*040525678901*28*3
100005*Premium Ticket*200.00*25*Ahmad Nizar*019-2222-333*071231789012*35*2
100006*Vip Ticket*300.00*8*Fatimah Abdullah*017-9876-543*100124890123*40*1
100007*Standard Ticket*150.00*30*Amirah Aziz*013-5555-555*091213567890*23*2
100008*Premium Ticket*200.00*14*Zainab Hussein*016-4444-444*060629678901*32*3
100009*Vip Ticket*300.00*10*Ahmad Faisal*018-8888-888*020215789012*29*1
100010*Standard Ticket*150.00*22*Nor Azizah*014-3333-333*030320456789*25*4
100011*Premium Ticket*200.00*7*Muhammad Irfan*012-6666-666*080705567890*27*2
100012*Vip Ticket*300.00*18*Nurul Huda*015-9999-999*041010678901*31*1
100013*Standard Ticket*150.00*9*Amir Hamzah*017-7777-777*011225789012*33*3
100014*Premium Ticket*200.00*20*Sara Abdullah*019-4444-555*090812456789*38*2
100015*Vip Ticket*300.00*11*Ali Hassan*016-1111-222*060412567890*44*1
100016*Standard Ticket*150.00*26*Zara Yusof*015-5555-111*080320678901*26*2
100017*Premium Ticket*200.00*13*Azizul Rahman*013-8888-555*051122789012*29*3
100018*Vip Ticket*300.00*16*Farah Ali*012-2222-555*071210456789*37*4
100019*Standard Ticket*150.00*5*Ahmad Zul*014-6666-555*021225567890*34*1
100020*Premium Ticket*200.00*24*Nora Mohd*016-5555-444*060510678901*22*3
100021*Vip Ticket*300.00*19*Khairul Amin*018-3333-555*080918789012*28*2
100022*Standard Ticket*150.00*14*Siti Nurul*019-1111-555*071211456789*36*4
100023*Premium Ticket*200.00*8*Mohd Zaki*013-7777-555*100724567890*30*1
100024*Vip Ticket*300.00*23*Nor Aishah*017-4444-555*060401678901*25*2
100025*Standard Ticket*150.00*16*Abdul Rahman*015-8888-555*080812789012*31*3
100026*Premium Ticket*200.00*10*Nurul Syuhada*014-5555-555*021025456789*29*1
100027*Vip Ticket*300.00*12*Aminul Haq*016-6666-666*011220567890*24*2
100028*Standard Ticket*150.00*28*Azizul Hakim*012-4444-444*050520678901*27*4
100029*Premium Ticket*200.00*18*Siti Mariam*011-1111-222*080815789012*33*3
100030*Vip Ticket*300.00*7*Mohd Hafiz*019-5555-111*091212456789*40*2
